Purchase Report
----------------------------------------------------------------------------------------------------------------------------------------------
Purchase ID    Customer             Book Title                                                                                           Price   
00000041       Fritz Snider         The Cuckoo's Calling                                                                                 $0.14    
00000042       Uma Garrison         Wicked: The Life and Times of the Wicked Witch of the West                                           $8.93    
00000043       Akeem Clements       The Nightingale                                                                                      $4.18    
00000044       Malcolm Henry        Their Eyes Were Watching God                                                                         $4.63    
00000045       Len Wood             Of Mice and Men                                                                                      $9.72    
00000046       Imogene Jimenez      The Host                                                                                             $2.83    
00000047       Jerome Hendrix       Wonder                                                                                               $0.04    
00000048       Rhonda Oconnor       Lolita                                                                                               $7.83    
00000049       Hakeem Shaffer       …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager                        $3.03    
00000050       Nerea Meyers         The Bell Jar                                                                                         $7.77    
00000051       Lila Anthony         Of Mice and Men                                                                                      $1.79    
00000052       Audra Whitley        In Cold Blood                                                                                        $0.99    
00000053       Autumn Estrada       Nineteen Minutes                                                                                     $1.56    
00000054       Ferris Reese         Breaking Dawn                                                                                        $6.25    
00000055       George Caldwell      The Wise Man's Fear                                                                                  $1.36    
00000056       Ciara Merritt        The Pact                                                                                             $5.68    
00000057       Fuller Whitley       Alice in Wonderland                                                                                  $1.21    
00000058       Althea Clay          Prince Caspian: The Return to Narnia                                                                 $6.34    
00000059       Fritz Snider         A Midsummer Night's Dream                                                                            $7.57    
00000060       Nathan Golden        The Curious Incident of the Dog in the Night-Time                                                    $2.71    
00000061       Montana Carr         Im Westen nichts Neues                                                                               $6.08    
00000062       Bradley Prince       Wild: From Lost to Found on the Pacific Crest Trail                                                  $1.36    
00000063       Uma Garrison         Breaking Dawn                                                                                        $4.80    
00000064       Zia Hansen           The Crucible                                                                                         $3.13    
00000065       Fritz Snider         The Road                                                                                             $6.40    
00000066       Althea Clay          The Red Pyramid                                                                                      $1.35    
00000067       Karyn Irwin          The Return of the King                                                                               $1.70    
00000068       Iola Arnold          The Night Circus                                                                                     $2.54    
00000069       Shelley Kidd         The Grapes of Wrath                                                                                  $8.30    
00000070       Talon Dale           A Dance with Dragons                                                                                 $6.32    
00000071       Uma Garrison         Holes                                                                                                $4.01    
00000072       Jescie Mcbride       The Host                                                                                             $2.15    
00000073       Ferris Reese         Les Misérables                                                                                      $4.57    
00000074       Montana Carr         She's Come Undone                                                                                    $7.14    
00000075       Xanthus Barnes       …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager                        $2.98    
00000076       Fulton Merritt       Pet Sematary                                                                                         $5.67    
00000077       Kirestin Gill        Orphan Train                                                                                         $0.51    
00000078       Adam Mccullough      It                                                                                                   $1.81    
00000079       George Caldwell      Salem's Lot                                                                                          $5.91    
00000080       Kareem Robertson     Ender's Game                                                                                         $1.55    
00000081       Abbot Stanley        The Undomestic Goddess                                                                               $2.46    
00000082       Wing Richardson      The Elite                                                                                            $1.83    
00000083       Quentin Strickland   Illiad                                                                                               $0.85    
00000084       Kaitlin Oneil        Les Misérables                                                                                      $0.49    
00000085       Ciara Merritt        Who Moved My Cheese?                                                                                 $7.96    
00000086       Trevor Salinas       Dress Your Family in Corduroy and Denim                                                              $8.06    
00000087       Wallace Estrada      Can You Keep a Secret?                                                                               $2.40    
00000088       Nehru Donovan        Treasure Island                                                                                      $4.42    
00000089       Zia Hansen           Ender's Game                                                                                         $0.54    
00000090       Lane Kidd            The Colour of Magic                                                                                  $2.50    
00000091       Montana Carr         My Sister's Keeper                                                                                   $8.53    
00000092       Lane Kidd            Пре�?тупление и наказание                                                       $9.66    
00000093       Patrick Snider       The Lion, the Witch and the Wardrobe                                                                 $3.64    
00000094       Marvin Cantrell      Into Thin Air: A Personal Account of the Mt. Everest Disaster                                        $7.43    
00000095       Imogene Jimenez      The Client                                                                                           $6.68    
00000096       Audra Whitley        Yes Please                                                                                           $7.41    
00000097       Montana Carr         The Bell Jar                                                                                         $6.14    
00000098       Chase Ball           Siddhartha                                                                                           $2.47    
00000099       Alice Patrick        La sombra del viento                                                                                 $0.06    
00000100       Thor Clarke          The Goldfinch                                                                                        $9.81    
